StockLocation,AssortmentGroupName,AssortmentGroupDescription,VarietyTarget,Attribute Set name,Reported Year,Reported Month,Reported Day,Space Target,SL AG Priority,Store_AG_Cluster(Number field)
P207,W_AJILE_BOTTOM,FASHION,16,,2024,9,25,128,,
P207,W_AJILE_CASUAL_T SHIRT,FASHION,24,,2024,9,25,192,,
P207,W_AJILE_SHORTS,FASHION,4,,2024,9,25,32,,
P207,W_AJILE_CORE PLUS_ T SHIRT,CORE PLUS,10,,2024,9,25,160,,
P207,W_AJILE_CORE PLUS_JOGGERS,CORE PLUS,3,,2024,9,25,30,,
P207,W_ANNABELLE_BOTTOM_TROUSERS,FASHION,8,,2024,9,25,64,,
P207,W_ANNABELLE_DRESS,FASHION,12,,2024,9,25,96,,
P207,W_ANNABELLE_SHIRT,FASHION,14,,2024,9,25,112,,
P207,W_ANNABELLE_TOP,FASHION,14,,2024,9,25,112,,
P207,W_ANNABELLE_SKIRTS,FASHION,2,,2024,9,25,16,,
P207,W_ANNABELLE_TREGGINGS,FASHION,3,,2024,9,25,24,,
P207,W_ANNABELLE_SHIRT_CAREER_3/4,CORE PLUS,3,,2024,9,25,30,,
P207,W_ANNABELLE_SHIRT_CAREER_FS,CORE PLUS,3,,2024,9,25,30,,
P207,W_ANNABELLE_SHIRT_CAREER_HS,CORE PLUS,2,,2024,9,25,20,,
P207,W_ANNABELLE_TREGGINGS_CP,CORE PLUS,4,,2024,9,25,40,,
P207,W_BARE DENIM_DENIM_F_NEW FIT,FASHION,24,,2024,9,25,192,,
P207,W_BARE DENIM_DENIM_F_REGULAR FIT,FASHION,10,,2024,9,25,80,,
P207,W_BARE DENIM_DRESS,FASHION,2,,2024,9,25,16,,
P207,W_BARE DENIM_SHORTS,FASHION,6,,2024,9,25,48,,
P207,W_BARE DENIM_JACKET,FASHION,2,,2024,9,25,16,,
P207,W_BARE DENIM_TOP_KNIT,FASHION,20,,2024,9,25,160,,
P207,W_BARE DENIM_TOP_WOVEN,FASHION,16,,2024,9,25,128,,
P207,W_BARE DENIM_CORE PLUS_SHIRT_3/4,CORE PLUS,5,,2024,9,25,50,,
P207,W_BARE DENIM_CORE PLUS_SHIRT_HS,CORE PLUS,4,,2024,9,25,40,,
P207,W_BARE DENIM_DENIM_CORE PLUS,CORE PLUS,8,,2024,9,25,0,,
P207,W_DREAMZ_M&M_BOTTOM_KNIT,FASHION,14,,2024,9,25,112,,
P207,W_DREAMZ_M&M_BOTTOM_WOVEN,FASHION,4,,2024,9,25,32,,
P207,W_DREAMZ_M&M_TOP,FASHION,20,,2024,9,25,160,,
P207,W_DREAMZ_NIGHTDRESS,FASHION,7,,2024,9,25,56,,
P207,W_DREAMZ_SETS_LONG BOTTOM,FASHION,4,,2024,9,25,32,,
P207,W_DREAMZ_SETS_SHORT BOTTOM,FASHION,6,,2024,9,25,48,,
P207,W_DREAMZ_SHORTS,FASHION,6,,2024,9,25,48,,
P207,W_DREAMZ_ESSENTIALS_BOTTOMS CORE PLUS,CORE PLUS,8,,2024,9,25,80,,
P207,W_DREAMZ_ESSENTIALS_SHORTS CORE PLUS,CORE PLUS,4,,2024,9,25,40,,
P207,W_DREAMZ_ESSENTIALS_CAPRI_CORE PLUS,CORE PLUS,4,,2024,9,25,40,,
P207,W_DREAMZ_ESSENTIALS_TOP_CORE PLUS,CORE PLUS,8,,2024,9,25,80,,
P207,W_HONEY_BOTTOM_LONG,FASHION,16,,2024,9,25,128,,
P207,W_HONEY_BOTTOM_SHORT,FASHION,0,,2024,9,25,0,,
P207,W_HONEY_DRESS,FASHION,14,,2024,9,25,112,,
P207,W_HONEY_LIC_TOP,FASHION,8,,2024,9,25,64,,
P207,W_HONEY_TOP_BASIC,FASHION,12,,2024,9,25,96,,
P207,W_HONEY_TOP_FASHION,FASHION,12,,2024,9,25,96,,
P207,W_HONEY_TOP_KNIT,FASHION,4,,2024,9,25,32,,
P207,W_HONEY_CORE PLUS_T SHIRT,CORE PLUS,24,,2024,9,25,384,,
P207,W_SF JEANS_DENIM_F,FASHION,12,,2024,9,25,96,,
P207,W_SF JEANS_DENIM_FB,FASHION,4,,2024,9,25,32,,
P207,W_SF JEANS_BOTTOM_SHORTS,FASHION,2,,2024,9,25,16,,
P207,W_SF JEANS_JACKET,FASHION,2,,2024,9,25,16,,
P207,W_SF JEANS_TOP_KNIT,FASHION,10,,2024,9,25,80,,
P207,W_SF JEANS_TOP_WOVEN,FASHION,10,,2024,9,25,80,,
